,Date,Open,High,Low,Close,Volume
1496,2005-12-15,2805.2,2821.5,2763.35,2778.55,92701214.0
1497,2005-12-16,2778.65,2814.9,2766.5,2810.15,88271522.0
1498,2005-12-19,2808.35,2846.0,2803.45,2842.6,77018983.0
1499,2005-12-20,2843.15,2853.1,2815.2,2826.2,74975479.0
1500,2005-12-21,2826.45,2847.3,2799.45,2822.9,123430901.0
1501,2005-12-22,2826.7,2846.65,2818.65,2835.25,66786005.0
1502,2005-12-23,2835.7,2857.0,2799.7,2804.85,65175171.0
1503,2005-12-26,2804.3,2804.3,2741.8,2749.6,57486163.0
1504,2005-12-27,2746.25,2812.6,2725.7,2805.9,58763373.0
1505,2005-12-28,2806.8,2824.3,2780.0,2794.05,73928672.0
1506,2005-12-29,2792.75,2829.4,2792.75,2821.95,79236604.0
1507,2005-12-30,2823.95,2845.55,2812.75,2836.55,76048886.0
1508,2006-01-02,2836.8,2849.45,2825.4,2835.95,51922369.0
1509,2006-01-03,2835.95,2887.2,2832.05,2883.35,56919143.0
1510,2006-01-04,2883.0,2909.35,2883.0,2904.4,82021279.0
1511,2006-01-05,2904.45,2916.2,2884.8,2899.85,70082252.0
1512,2006-01-06,2899.85,2921.7,2877.25,2914.0,83354445.0
1513,2006-01-09,2913.35,2927.25,2898.25,2910.1,74818404.0
1514,2006-01-10,2910.15,2913.05,2865.6,2870.8,71122017.0
1515,2006-01-12,2869.35,2869.35,2824.0,2850.7,92184274.0
1516,2006-01-13,2851.4,2878.35,2846.7,2850.55,66173305.0
1517,2006-01-16,2851.35,2855.7,2824.05,2833.1,57827407.0
1518,2006-01-17,2833.8,2861.25,2820.65,2829.1,95095316.0
1519,2006-01-18,2809.9,2840.1,2783.85,2809.2,119045833.0
1520,2006-01-19,2811.1,2875.95,2811.1,2870.85,69427054.0
1521,2006-01-20,2870.8,2912.8,2870.8,2900.95,73695932.0
1522,2006-01-23,2900.3,2900.3,2870.95,2884.05,65128512.0
1523,2006-01-24,2886.35,2914.25,2885.75,2908.0,67193094.0
1524,2006-01-25,2908.75,2949.1,2871.25,2940.35,97129132.0
1525,2006-01-27,2941.9,2989.7,2941.9,2982.75,115083146.0
1526,2006-01-30,2983.3,3002.2,2963.65,2974.5,99399734.0
1527,2006-01-31,2968.95,3005.1,2968.85,3001.1,74303077.0
1528,2006-02-01,3001.3,3011.05,2960.9,2971.55,87163320.0
1529,2006-02-02,2972.2,2997.25,2957.55,2967.45,80517157.0
1530,2006-02-03,2968.1,2973.9,2931.85,2940.6,62877718.0
1531,2006-02-06,2940.95,3009.45,2928.1,3000.45,70479490.0
1532,2006-02-07,3001.15,3025.1,2991.25,3020.1,84822966.0
1533,2006-02-08,3018.2,3021.25,2984.9,3008.95,72204624.0
1534,2006-02-10,3009.15,3031.75,3009.1,3027.55,77233296.0
1535,2006-02-13,3026.15,3042.75,3018.5,3041.15,66172668.0
1536,2006-02-14,3040.25,3051.7,3009.9,3017.55,86851659.0
1537,2006-02-15,3001.4,3048.8,2995.3,3022.2,90334973.0
1538,2006-02-16,3023.1,3036.65,3013.7,3021.6,77742684.0
1539,2006-02-17,3021.65,3038.8,2976.7,2981.5,80252511.0
1540,2006-02-20,2982.35,3010.65,2955.85,3005.85,61702111.0
1541,2006-02-21,3008.55,3042.05,3008.55,3035.5,59629361.0
1542,2006-02-22,3035.65,3055.65,3032.5,3050.8,56288881.0
1543,2006-02-23,3050.85,3078.4,3050.85,3062.1,108536483.0
1544,2006-02-24,3061.7,3072.0,3041.6,3050.05,61840503.0
1545,2006-02-27,3050.3,3070.35,3050.3,3067.45,53579117.0
1546,2006-02-28,3067.9,3090.3,3031.8,3074.7,101518894.0
1547,2006-03-01,3074.6,3127.25,3064.0,3123.1,96935864.0
1548,2006-03-02,3124.25,3170.35,3124.25,3150.7,117835195.0
1549,2006-03-03,3151.3,3167.2,3132.6,3147.35,68562889.0
1550,2006-03-06,3147.25,3194.0,3147.2,3190.4,70231056.0
1551,2006-03-07,3190.45,3192.95,3166.75,3182.8,85670076.0
1552,2006-03-08,3183.45,3187.5,3107.9,3116.7,104385907.0
1553,2006-03-09,3116.75,3132.65,3069.85,3129.1,91561270.0
1554,2006-03-10,3129.05,3189.35,3128.6,3183.9,89130425.0
1555,2006-03-13,3184.1,3221.3,3174.05,3202.65,71708390.0
1556,2006-03-14,3197.2,3223.45,3184.05,3195.35,81135055.0
1557,2006-03-16,3197.3,3230.4,3196.95,3226.6,85098635.0
1558,2006-03-17,3226.9,3258.3,3226.9,3234.05,84410109.0
1559,2006-03-20,3234.2,3268.25,3234.2,3265.65,74738736.0
1560,2006-03-21,3264.65,3292.15,3247.25,3262.3,94383185.0
1561,2006-03-22,3263.35,3267.95,3221.95,3240.15,92992199.0
1562,2006-03-23,3240.85,3265.6,3225.2,3247.15,132315985.0
1563,2006-03-24,3247.15,3286.2,3242.6,3279.8,133458459.0
1564,2006-03-27,3283.4,3327.05,3280.8,3321.65,155883121.0
1565,2006-03-28,3321.45,3344.5,3311.85,3325.0,145259830.0
1566,2006-03-29,3324.85,3359.8,3324.8,3354.2,107383096.0
1567,2006-03-30,3354.25,3433.85,3354.25,3418.95,167133850.0
1568,2006-03-31,3420.55,3425.45,3381.9,3402.55,191025581.0
1569,2006-04-03,3403.15,3478.25,3402.45,3473.3,73250033.0
1570,2006-04-04,3473.1,3508.25,3463.85,3483.15,92359007.0
1571,2006-04-05,3483.15,3513.95,3483.15,3510.9,79374868.0
1572,2006-04-07,3525.6,3555.5,3445.9,3454.8,137089599.0
1573,2006-04-10,3455.0,3489.05,3430.4,3478.45,104980176.0
1574,2006-04-12,3479.1,3484.65,3366.75,3380.0,124245306.0
1575,2006-04-13,3380.4,3391.05,3290.35,3345.5,129244802.0
1576,2006-04-17,3342.15,3433.65,3342.15,3425.15,94138429.0
1577,2006-04-18,3429.0,3521.95,3429.0,3518.1,103920172.0
1578,2006-04-19,3523.65,3570.5,3502.75,3535.85,119462639.0
